Date,date_iso,SKU,Amazon Actual Units,Amazon Predicted Units,eBay Actual Units,eBay Predicted Units,Website Actual Units,Website Predicted Units,Other Actual Units,Other Predicted Units,Total Actual Units,Total Predicted Units,Reason
11-Sep-2026,2026-09-11,RIM-100WP-BLK,,0,,3,,0,,0,,3,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-1KLL-071,,0,,0,,0,,0,,0,Current stock availability is limiting observed demand.
11-Sep-2026,2026-09-11,RIM-1KLL-080,,0,,0,,0,,0,,0,Current stock availability is limiting observed demand.
11-Sep-2026,2026-09-11,RIM-1KLL-081,,0,,0,,0,,0,,0,"Demand is intermittent, so the forecast remains conservative."
11-Sep-2026,2026-09-11,RIM-BBCREAM-LIGHT,,0,,1,,0,,0,,1,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BBCREAM-MEDIUM,,0,,0,,0,,0,,0,Current stock availability is limiting observed demand.
11-Sep-2026,2026-09-11,RIM-BBCREAM-VERYLIGHT,,0,,0,,0,,0,,0,Current stock availability is limiting observed demand.
11-Sep-2026,2026-09-11,RIM-BTW-BSK-DRKBRW,,2,,1,,0,,0,,3,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BTW-BSK-DRKBRW-2PK,,0,,0,,0,,0,,0,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BTW-BSK-DRKBRW-3PK,,0,,0,,0,,0,,0,"Demand is intermittent, so the forecast remains conservative."
11-Sep-2026,2026-09-11,RIM-BTW-BSK-MEDBRW,,0,,2,,0,,0,,2,"Demand is intermittent, so the forecast remains conservative."
11-Sep-2026,2026-09-11,RIM-BTW-BSK-MEDBRW-2PK,,0,,0,,0,,0,,0,"Demand is intermittent, so the forecast remains conservative."
11-Sep-2026,2026-09-11,RIM-BTW-BSK-MEDBRW-3PK,,0,,0,,0,,0,,0,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BTW-F&S-001,,0,,0,,0,,0,,0,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BTW-F&S-002,,0,,0,,0,,0,,0,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BTW-F&S-003,,6,,0,,0,,0,,6,"Recent demand is volatile, so the forecast is kept conservative."
11-Sep-2026,2026-09-11,RIM-BTW-F&S-004,,0,,0,,0,,0,,0,"Demand is intermittent, so the forecast remains conservative."
11-Sep-2026,2026-09-11,RIM-BTWEYEBROW-003,,0,,0,,0,,0,,0,Current stock availability is limiting observed demand.
11-Sep-2026,2026-09-11,RIM-BTWEYEBROW-005,,0,,0,,0,,0,,0,"Demand is intermittent, so the forecast remains conservative."
11-Sep-2026,2026-09-11,RIM-BTWEYEBROW-005-2PK,,0,,0,,0,,0,,0,"Demand is intermittent, so the forecast remains conservative."
